park_name,trail_count,avg_popularity
Acadia National Park,179,8.375919553072626
Arches National Park,48,13.462422916666666
Badlands National Park,10,13.14104
Big Bend National Park,70,7.17638
Biscayne National Park,4,4.0552
Black Canyon of the Gunnison National Park,24,7.690120833333332
Bryce Canyon National Park,31,16.61790322580645
Canyonlands National Park,77,8.143584415584415
Capitol Reef National Park,42,9.006230952380953
Carlsbad Caverns National Park,8,5.3294625
Channel Islands National Park,22,5.62665
Clayton Co International Park,1,4.7291
Congaree National Park,8,6.675575
Crater Lake National Park,22,12.43075
Cuyahoga Valley National Park,50,8.771132
Death Valley National Park,79,6.359222784810127
Denali National Park,20,6.091125
Dry Tortugas National Park,1,5.1776
Everglades National Park,24,4.5320375
Fort Hunt National Park,3,4.921166666666667
Fort Pickens National Park,2,6.37385
Gateway Arch National Park,2,5.30635
Glacier Bay National Park,5,2.1591
Glacier National Park,132,10.061925
Grand Canyon National Park,99,9.71600101010101
Grand Teton National Park,102,9.373725490196078
Great Basin National Park,22,6.347131818181818
Great Sand Dunes National Park,14,8.3819
Great Smoky Mountains National Park,293,8.313232081911263
Guadalupe Mountains National Park,24,7.075
Haleakala National Park,14,13.723585714285715
Hawaii Volcanoes National Park,35,6.123488571428571
Hot Springs National Park,16,7.32681875
Indiana Dunes National Park,16,5.09905
Isle Royale National Park,4,3.018375
Joshua Tree National Park,108,7.860078703703704
Katmai National Park,2,2.26325
Kenai Fjords National Park,2,21.337600000000002
Lassen Volcanic National Park,59,7.117389830508475
Mammoth Cave National Park,28,5.800725
Mesa Verde National Park,17,8.22590588235294
Mount Rainier National Park,130,11.726443846153845
North Cascades National Park,20,9.37466
Olympic National Park,170,9.389507647058824
Petrified Forest National Park,15,7.6882866666666665
Pinnacles National Park,27,9.421903703703704
Redwood National Park,22,7.145290909090909
Rocky Mountain National Park,207,13.007846376811596
Saguaro National Park,60,6.6395566666666666
Sequoia and Kings Canyon National Park,151,9.243440397350994
Shenandoah National Park,187,8.517369518716578
Theodore Roosevelt National Park,23,5.7858347826086955
Voyageurs National Park,7,3.0409285714285716
Wind Cave National Park,10,5.50061
Wolf Trap National Park,1,7.1119
Yellowstone National Park,228,7.006884210526316
Yosemite National Park,242,9.235685950413224
Zion National Park,94,12.027557446808512
